id,x_m,y_m,utm_x_m,utm_y_m,lon,lat,residual_height_m
0,267.23,131.58,492068.66,5307575.66,-129.106164,47.921454,35.40
1,221.11,245.52,492022.54,5307689.60,-129.106783,47.922478,34.70
2,221.11,150.57,492022.54,5307594.65,-129.106781,47.921624,32.93
3,185.84,381.17,491987.27,5307825.25,-129.107258,47.923698,31.67
4,193.98,603.63,491995.41,5308047.72,-129.107153,47.925700,31.23
5,218.39,519.53,492019.83,5307963.61,-129.106824,47.924944,31.01
6,66.47,636.19,491867.90,5308080.27,-129.108860,47.925991,30.98
7,183.13,375.75,491984.56,5307819.83,-129.107294,47.923650,30.79
8,237.38,88.17,492038.82,5307532.25,-129.106562,47.921063,30.53
9,58.33,628.05,491859.76,5308072.13,-129.108969,47.925918,30.48
10,196.69,430.00,491998.12,5307874.09,-129.107113,47.924138,30.41
11,188.55,606.35,491989.98,5308050.43,-129.107226,47.925725,30.35
12,147.86,107.16,491949.29,5307551.24,-129.107761,47.921233,30.06
