id,x_m,y_m,utm_x_m,utm_y_m,lon,lat,residual_height_m
0,362.23,856.24,517897.18,2893313.47,-44.820925,26.159080,10.49
1,398.62,871.17,517933.56,2893328.39,-44.820561,26.159214,8.41
2,487.25,699.50,518022.20,2893156.73,-44.819677,26.157663,6.22
3,468.12,923.88,518003.07,2893381.11,-44.819865,26.159689,5.51
4,488.18,904.76,518023.13,2893361.98,-44.819665,26.159516,5.29
5,150.91,602.47,517685.86,2893059.70,-44.823043,26.156791,4.98
6,493.31,670.58,518028.26,2893127.80,-44.819616,26.157402,4.94
7,344.97,568.88,517879.92,2893026.11,-44.821102,26.156485,4.92
8,491.91,675.71,518026.86,2893132.93,-44.819630,26.157448,4.90
9,327.24,866.97,517862.19,2893324.20,-44.821275,26.159177,4.80
10,146.71,595.47,517681.66,2893052.70,-44.823085,26.156728,4.75
11,594.54,743.35,518129.49,2893200.58,-44.818603,26.158058,4.62
12,164.44,675.71,517699.39,2893132.93,-44.822907,26.157452,4.61
13,374.36,581.01,517909.31,2893038.24,-44.820808,26.156595,4.53
14,504.98,815.19,518039.92,2893272.42,-44.819498,26.158708,4.50
15,119.19,583.81,517654.14,2893041.04,-44.823361,26.156623,4.32
16,153.24,640.26,517688.19,2893097.48,-44.823019,26.157132,4.17
17,154.17,648.65,517689.12,2893105.88,-44.823010,26.157208,4.11
18,164.90,688.31,517699.85,2893145.53,-44.822902,26.157566,4.04
19,397.22,844.11,517932.16,2893301.34,-44.820576,26.158970,3.91
20,239.54,698.10,517774.49,2893155.33,-44.822155,26.157654,3.76
21,646.79,689.24,518181.74,2893146.46,-44.818081,26.157568,3.68
22,500.31,783.47,518035.26,2893240.69,-44.819545,26.158421,3.68
23,131.32,577.75,517666.26,2893034.97,-44.823240,26.156568,3.67
24,649.59,745.68,518184.53,2893202.91,-44.818052,26.158078,3.47
25,279.66,598.27,517814.61,2893055.50,-44.821755,26.156752,3.40
26,452.26,580.55,517987.21,2893037.77,-44.820028,26.156589,3.35
27,157.91,763.41,517692.85,2893220.63,-44.822971,26.158244,3.35
28,548.83,625.80,518083.77,2893083.02,-44.819062,26.156997,3.33
29,389.29,685.51,517924.23,2893142.73,-44.820657,26.157538,3.29
30,158.84,723.29,517693.79,2893180.52,-44.822962,26.157882,3.28
31,407.48,979.86,517942.43,2893437.09,-44.820471,26.160196,3.28
32,214.35,807.26,517749.30,2893264.49,-44.822406,26.158640,3.24
33,325.84,807.26,517860.79,2893264.49,-44.821290,26.158638,3.24
34,434.54,659.38,517969.48,2893116.61,-44.820205,26.157302,3.22
35,331.44,809.59,517866.39,2893266.82,-44.821234,26.158659,3.19
36,192.89,718.63,517727.84,2893175.85,-44.822622,26.157839,3.16
37,647.25,830.12,518182.20,2893287.34,-44.818074,26.158841,3.15
38,482.12,813.79,518017.06,2893271.02,-44.819726,26.158695,3.10
39,561.89,774.14,518096.83,2893231.36,-44.818929,26.158336,3.07
40,468.12,1030.71,518003.07,2893487.93,-44.819863,26.160654,3.04
41,156.97,791.87,517691.92,2893249.09,-44.822980,26.158501,3.00
42,229.75,652.39,517764.69,2893109.61,-44.822254,26.157241,2.99
43,212.49,843.65,517747.43,2893300.87,-44.822424,26.158968,2.98
44,383.22,867.90,517918.17,2893325.13,-44.820715,26.159185,2.95
45,205.96,772.27,517740.90,2893229.50,-44.822490,26.158324,2.95
46,603.40,899.63,518138.35,2893356.85,-44.818512,26.159469,2.94
47,191.03,586.14,517725.98,2893043.37,-44.822642,26.156643,2.93
48,482.58,1064.76,518017.53,2893521.99,-44.819718,26.160961,2.92
49,412.14,991.99,517947.09,2893449.21,-44.820424,26.160305,2.82
50,615.07,761.54,518150.01,2893218.77,-44.818397,26.158222,2.82
51,537.16,758.28,518072.11,2893215.50,-44.819176,26.158193,2.79
52,187.76,578.21,517722.71,2893035.44,-44.822675,26.156572,2.72
53,208.29,824.52,517743.24,2893281.75,-44.822466,26.158795,2.71
54,223.22,728.89,517758.16,2893186.11,-44.822318,26.157932,2.70
55,626.26,731.69,518161.21,2893188.91,-44.818285,26.157952,2.69
56,188.70,649.59,517723.64,2893106.81,-44.822665,26.157216,2.68
57,495.65,852.04,518030.59,2893309.27,-44.819591,26.159040,2.65
58,187.30,654.72,517722.24,2893111.94,-44.822679,26.157262,2.65
59,509.17,797.00,518044.12,2893254.22,-44.819456,26.158543,2.64
60,653.32,772.74,518188.27,2893229.96,-44.818014,26.158322,2.64
61,505.91,1049.83,518040.86,2893507.06,-44.819485,26.160826,2.64
62,494.71,617.87,518029.66,2893075.09,-44.819603,26.156926,2.61
63,652.39,711.16,518187.33,2893168.39,-44.818024,26.157766,2.56
64,394.88,813.32,517929.83,2893270.55,-44.820599,26.158692,2.56
65,646.79,849.71,518181.74,2893306.94,-44.818078,26.159017,2.55
66,469.06,1022.31,518004.00,2893479.54,-44.819854,26.160578,2.55
67,312.78,595.47,517847.73,2893052.70,-44.821424,26.156726,2.52
68,341.24,841.78,517876.19,2893299.01,-44.821136,26.158950,2.51
