id,utm_x_m,utm_y_m,lon,lat,residual_height_m
0,517897.18,2893313.47,-44.820925,26.159080,22.57
1,518576.39,2893222.50,-44.814131,26.158250,18.56
2,517933.56,2893328.39,-44.820561,26.159214,17.66
3,518022.20,2893361.98,-44.819674,26.159517,17.43
4,517683.52,2893060.16,-44.823067,26.156795,17.02
5,518003.54,2893378.31,-44.819860,26.159664,16.73
6,518008.67,2893369.45,-44.819809,26.159584,16.41
7,518500.81,2893307.87,-44.814886,26.159022,14.35
8,517680.26,2893092.82,-44.823099,26.157090,13.40
9,518253.11,2893423.09,-44.817363,26.160065,13.31
10,517918.17,2893324.66,-44.820715,26.159181,12.89
11,517862.66,2893324.20,-44.821271,26.159177,12.72
12,518778.38,2893178.18,-44.812110,26.157847,12.14
13,518040.39,2893271.95,-44.819493,26.158703,12.04
14,518414.51,2893461.81,-44.815747,26.160413,11.58
15,517924.70,2892715.89,-44.820658,26.153684,11.53
16,518022.66,2893156.26,-44.819672,26.157659,11.49
17,518619.77,2893006.05,-44.813700,26.156295,11.46
18,517773.09,2893156.73,-44.822169,26.157666,11.43
19,518443.90,2892724.29,-44.815463,26.153753,11.41
20,518659.89,2893325.60,-44.813294,26.159180,11.27
21,518369.26,2892958.93,-44.816207,26.155873,10.68
22,518047.85,2892641.25,-44.819427,26.153008,10.26
23,518357.14,2892926.75,-44.816329,26.155582,10.23
24,518289.96,2892594.61,-44.817005,26.152584,10.10
25,518673.42,2893238.83,-44.813160,26.158396,9.84
26,518411.25,2892834.85,-44.815789,26.154752,9.75
27,518027.33,2893134.33,-44.819626,26.157461,9.74
28,517931.70,2893302.74,-44.820580,26.158983,9.62
29,518278.77,2893146.93,-44.817110,26.157571,9.58
30,518188.27,2893153.93,-44.818015,26.157636,9.51
31,517871.99,2892816.19,-44.821184,26.154590,9.41
32,518851.15,2893017.71,-44.811385,26.156397,9.32
33,517809.01,2893053.63,-44.821811,26.156735,9.18
34,518188.27,2893167.92,-44.818015,26.157762,9.17
35,518264.30,2892959.87,-44.817257,26.155883,9.14
36,518260.57,2892951.47,-44.817294,26.155807,9.08
37,518654.29,2893248.62,-44.813351,26.158485,8.94
38,517860.32,2893264.95,-44.821295,26.158642,8.91
39,518356.67,2892900.16,-44.816334,26.155342,8.86
40,518083.31,2892806.86,-44.819070,26.154503,8.75
41,518524.14,2893270.55,-44.814653,26.158685,8.74
42,518034.79,2893241.16,-44.819550,26.158425,8.71
43,517868.25,2892797.53,-44.821222,26.154422,8.71
44,517916.30,2892852.11,-44.820740,26.154914,8.65
45,518404.72,2892710.30,-44.815856,26.153627,8.58
46,517908.84,2893041.04,-44.820812,26.156620,8.51
47,518332.41,2892664.58,-44.816580,26.153215,8.46
48,518518.07,2893258.42,-44.814714,26.158575,8.41
49,518450.90,2893326.06,-44.815385,26.159187,8.37
50,518746.19,2893054.56,-44.812434,26.156731,8.37
51,518253.11,2892924.88,-44.817370,26.155567,8.36
52,518341.74,2893002.32,-44.816482,26.156265,8.19
53,517996.54,2892689.77,-44.819940,26.153447,8.13
54,518275.03,2893176.32,-44.817147,26.157837,8.09
55,517998.87,2892673.91,-44.819917,26.153304,8.08
56,518183.60,2893262.62,-44.818060,26.158617,8.06
57,518184.53,2893201.98,-44.818052,26.158070,8.05
