id,utm_x_m,utm_y_m,lon,lat,residual_height_m
0,517897.18,2893313.47,-44.820925,26.159080,13.74
1,517924.70,2892715.89,-44.820658,26.153684,12.14
2,517933.56,2893328.39,-44.820561,26.159214,10.80
3,518252.64,2893423.09,-44.817367,26.160065,9.18
4,518576.39,2893222.50,-44.814131,26.158250,8.98
5,518002.60,2893378.77,-44.819870,26.159668,8.61
6,518022.66,2893361.51,-44.819669,26.159512,8.60
7,518022.66,2893156.73,-44.819672,26.157663,8.60
8,517684.92,2893060.16,-44.823053,26.156795,8.37
9,518500.81,2893307.40,-44.814886,26.159018,7.19
10,518414.51,2893462.28,-44.815747,26.160417,6.99
11,518040.39,2893272.42,-44.819493,26.158708,6.87
12,518027.33,2893133.40,-44.819626,26.157452,6.82
13,517685.39,2893098.41,-44.823047,26.157141,6.79
14,517862.66,2893324.20,-44.821271,26.159177,6.53
15,518282.96,2892508.77,-44.817077,26.151809,6.50
16,517699.39,2893133.40,-44.822907,26.157457,6.35
17,518047.85,2892641.25,-44.819427,26.153008,6.34
18,517774.02,2893155.33,-44.822160,26.157654,6.31
19,518023.60,2892622.13,-44.819670,26.152836,6.28
20,518290.89,2892594.61,-44.816996,26.152584,6.19
21,518741.52,2893063.43,-44.812481,26.156811,6.10
22,517879.92,2893026.11,-44.821102,26.156485,6.10
23,518441.57,2892725.22,-44.815487,26.153762,6.09
24,518777.91,2893178.18,-44.812115,26.157847,6.07
25,517908.84,2893040.10,-44.820813,26.156611,6.03
26,518410.78,2892834.38,-44.815793,26.154748,6.00
27,518129.96,2893201.04,-44.818598,26.158062,5.92
28,518308.15,2893442.22,-44.816811,26.160237,5.84
29,517654.60,2893040.57,-44.823356,26.156619,5.81
30,518658.49,2893322.33,-44.813308,26.159150,5.75
31,518524.14,2893271.02,-44.814653,26.158689,5.74
32,518679.95,2893043.37,-44.813097,26.156631,5.73
33,518183.60,2893266.82,-44.818060,26.158655,5.68
34,518369.26,2892958.93,-44.816207,26.155873,5.65
35,517871.99,2892815.72,-44.821184,26.154586,5.64
36,517868.25,2892797.06,-44.821222,26.154417,5.61
37,517996.54,2892689.77,-44.819940,26.153447,5.56
38,518100.10,2893012.58,-44.818899,26.156361,5.51
39,518294.16,2893405.83,-44.816952,26.159909,5.47
40,518693.01,2893243.03,-44.812964,26.158434,5.43
41,518150.48,2892544.22,-44.818402,26.152131,5.38
42,518336.14,2893109.61,-44.816536,26.157234,5.33
43,518753.65,2893033.57,-44.812360,26.156542,5.33
44,518001.20,2892668.78,-44.819894,26.153257,5.32
45,518332.41,2892664.58,-44.816580,26.153215,5.31
46,518247.04,2893339.59,-44.817424,26.159311,5.31
47,518302.09,2893377.38,-44.816873,26.159652,5.30
48,518184.07,2893148.80,-44.818057,26.157589,5.30
49,517812.28,2893054.10,-44.821778,26.156739,5.30
50,518404.72,2892710.76,-44.815856,26.153631,5.30
51,518337.08,2893015.85,-44.816528,26.156387,5.29
52,518264.77,2892960.33,-44.817252,26.155887,5.26
53,518034.79,2893240.69,-44.819550,26.158421,5.20
54,518513.41,2893336.32,-44.814759,26.159279,5.20
55,518515.28,2893255.16,-44.814742,26.158546,5.16
56,517715.25,2892961.27,-44.822751,26.155902,5.14
57,517916.30,2892851.64,-44.820740,26.154910,5.12
58,518276.90,2893144.60,-44.817128,26.157550,5.09
59,518341.74,2893002.78,-44.816482,26.156269,5.07
60,518014.73,2892742.48,-44.819757,26.153923,5.04
61,518258.24,2893457.15,-44.817311,26.160373,5.01
