id,kind,preset,tile,lon_min,lon_max,lat_min,lat_max,W_m,H_m,AR,area_ha,n_targets,density_per_ha
mothra,named,,SouthCentral,-129.10974,-129.10583,47.92026,47.92612,291.67995806599725,647.9401999998255,2.221408026441154,18.899117036522295,28,1.4815506960399456
mef,named,,Central,-129.10010563505435,-129.09615697494564,47.9457800109651,47.9512178479349,294.4197942456456,601.261633750472,2.042191610421467,17.702332649661468,56,3.1634249060996447
high_rise,named,,Central,-129.08977288560754,-129.08650007139244,47.9653017760651,47.9704607721349,243.9358765309919,570.4301954380528,2.3384432152831773,13.914838972392644,62,4.455674990059849
salty_dawg,named,,North,-129.07699461148061,-129.0741633045194,47.9809976786651,47.9831463213349,210.97059383582564,237.57541999999154,1.1261067984899802,5.01214274381939,18,3.5912784052681443
sasquatch,named,,North,-129.06720272356426,-129.06526627643575,47.9956036786651,47.9972833213349,144.25127964020157,185.71808999971566,1.287462339765322,2.6790072134793106,7,2.612908231370113
sparse_1,searched,sparse,North,-129.07259851387602,-129.06321007460411,47.99450791353893,48.000838744686625,700.0,700.0,1.0,49.0,43,0.8775510204081632
sparse_2,searched,sparse,North,-129.06991610265547,-129.06052766338357,47.99233734285973,47.99866817400741,700.0,700.0,1.0,49.0,46,0.9387755102040817
sparse_3,searched,sparse,North,-129.0750126839745,-129.0656242447026,47.99233734285973,47.99866817400741,700.0,700.0,1.0,49.0,24,0.4897959183673469
crossaxis_1,searched,crossaxis,Central,-129.09378956251834,-129.08440112324644,47.96520520936963,47.96882282716831,700.0,400.0,0.5714285714285714,28.0,57,2.0357142857142856
crossaxis_2,searched,crossaxis,Central,-129.08976594568753,-129.0803775064156,47.96502432847969,47.968641946278375,700.0,400.0,0.5714285714285714,28.0,48,1.7142857142857142
crossaxis_3,searched,crossaxis,Central,-129.10022734944766,-129.09352132139628,47.9469362394863,47.9496494528353,500.0,300.0,0.6,15.0,45,3.0
dense_1,searched,dense,Central,-129.0994226260815,-129.09674021486094,47.94440390702722,47.94983033372524,200.0,600.0,3.0,12.0,67,5.583333333333333
dense_2,searched,dense,Central,-129.08949770456547,-129.08681529334493,47.96484344758976,47.97026987428778,200.0,600.0,3.0,12.0,63,5.25
dense_3,searched,dense,Central,-129.0994226260815,-129.09674021486094,47.94711712037623,47.95254354707425,200.0,600.0,3.0,12.0,51,4.25
