waypoint_id,sequence_id,lon,lat,type,height_m,x_local_m,y_local_m,seafloor_depth_m,utm9n_easting,utm9n_northing,name
1,139,-129.098633387,47.944474199,chimney,8,60.502,9.500,-2204.407,492634.502,5310133.500,
2,140,-129.098637387,47.944475199,chimney,9,60.203,9.611,-2204.407,492634.203,5310133.611,
3,141,-129.099055394,47.944552227,chimney,9,28.999,18.212,-2195.980,492602.999,5310142.212,
4,142,-129.099375311,47.944615209,chimney,5,5.118,25.243,-2197.868,492579.118,5310149.243,
5,143,-129.099098253,47.944632543,chimney,6,25.810,27.143,-2194.084,492599.810,5310151.143,
6,144,-129.099016279,47.944834220,chimney,6,31.960,49.551,-2190.249,492605.960,5310173.551,
7,145,-129.098294501,47.944887490,chimney,15,85.866,55.402,-2205.030,492659.866,5310179.402,
8,146,-129.098879346,47.944945521,chimney,6,42.202,61.908,-2190.677,492616.202,5310185.908,
9,147,-129.098480304,47.944974181,chimney,15,72.004,65.055,-2198.399,492646.004,5310189.055,
10,148,-129.098412064,47.944990548,chimney,14,77.102,66.868,-2196.217,492651.102,5310190.868,
11,149,-129.098590264,47.944993219,chimney,17,63.795,67.182,-2195.173,492637.795,5310191.182,
12,150,-129.098385179,47.945288662,chimney,11,79.152,99.999,-2199.449,492653.152,5310223.999,
13,151,-129.098617103,47.945302955,mound,12,61.835,101.610,-2185.627,492635.835,5310225.610,
14,152,-129.098535136,47.945434659,chimney,9,67.975,116.240,-2200.758,492641.975,5310240.240,
15,153,-129.098772195,47.945472271,chimney,8,50.278,120.443,-2198.220,492624.278,5310244.443,
16,154,-129.098510090,47.945703332,mound,9,69.883,146.099,-2195.496,492643.883,5310270.099,
17,155,-129.098805090,47.945724332,chimney,5,47.857,148.462,-2198.453,492621.857,5310272.462,
18,156,-129.098657111,47.945742590,chimney,6,58.910,150.477,-2198.889,492632.910,5310274.477,
19,157,-129.098558090,47.946051332,chimney,3,66.348,184.782,-2197.767,492640.348,5310308.782,
20,158,-129.098832090,47.946078332,chimney,6,45.892,187.810,-2197.865,492619.892,5310311.810,
21,169,-129.098179375,47.946793878,chimney,7,94.733,267.277,-2197.688,492668.733,5310391.277,
22,172,-129.098460212,47.947048828,chimney,8,73.799,295.640,-2193.833,492647.799,5310419.640,
23,173,-129.098188951,47.947060071,chimney,12,94.056,296.863,-2197.032,492668.056,5310420.863,
24,176,-129.098243774,47.947120355,chimney,10,89.970,303.569,-2195.099,492663.970,5310427.569,
25,177,-129.098406466,47.947160552,chimney,8,77.828,308.052,-2193.933,492651.828,5310432.052,
26,180,-129.097735466,47.947183552,chimney,4,127.936,310.545,-2205.524,492701.936,5310434.545,
27,182,-129.098280466,47.947272552,chimney,6,87.252,320.488,-2198.299,492661.252,5310444.488,
28,183,-129.098688466,47.947323552,chimney,7,56.793,326.196,-2186.182,492630.793,5310450.196,
29,184,-129.097927466,47.947324552,mound,20,113.619,326.234,-2194.684,492687.619,5310450.234,
30,185,-129.097888466,47.947346552,chimney,14,116.534,328.676,-2197.483,492690.534,5310452.676,
31,186,-129.098808466,47.947349552,chimney,10,47.837,329.097,-2183.806,492621.837,5310453.097,Milli-Q
32,189,-129.098242534,47.947540235,chimney,7,90.123,350.236,-2197.001,492664.123,5310474.236,
33,190,-129.098363302,47.947555727,chimney,9,81.107,351.970,-2194.676,492655.107,5310475.970,
34,193,-129.099086407,47.947620195,mound,6,27.121,359.204,-2185.892,492601.121,5310483.204,Sully
35,195,-129.098943341,47.947720965,mound,11,37.818,370.390,-2186.534,492611.818,5310494.390,Tara
36,196,-129.098993466,47.947778552,chimney,9,34.084,376.796,-2186.112,492608.084,5310500.796,
37,198,-129.097605003,47.947793611,mound,13,137.763,378.337,-2198.760,492711.763,5310502.337,
38,199,-129.097710652,47.947801820,chimney,6,129.876,379.260,-2202.203,492703.876,5310503.260,
