waypoint_id,sequence_id,lon,lat,type,height_m,x_local_m,y_local_m,seafloor_depth_m,utm9n_easting,utm9n_northing,name
1,326,-129.088703674,47.965304272,chimney,7,80.670,1.757,-2158.042,493378.670,5312447.757,
2,327,-129.087959307,47.965326347,chimney,5,136.236,4.147,-2172.087,493434.236,5312450.147,
3,328,-129.088080246,47.965410284,chimney,19,127.219,13.486,-2158.051,493425.219,5312459.486,
4,329,-129.088522352,47.965427739,chimney,9,94.220,15.464,-2156.901,493392.220,5312461.464,
5,330,-129.088385246,47.965499270,chimney,12,104.464,23.403,-2153.195,493402.464,5312469.403,
6,331,-129.087852830,47.965517353,chimney,7,144.208,25.367,-2166.147,493442.208,5312471.367,
7,332,-129.088227790,47.965573097,chimney,19,116.226,31.595,-2149.088,493414.226,5312477.595,Fairy Castle
8,333,-129.088020704,47.965671259,mound,12,131.697,42.487,-2152.255,493429.697,5312488.487,
9,334,-129.088488264,47.965701603,chimney,12,96.800,45.900,-2158.761,493394.800,5312491.900,
10,335,-129.087969704,47.965758259,mound,17,135.515,52.153,-2151.090,493433.515,5312498.153,
11,336,-129.088511820,47.965860966,chimney,9,95.062,63.614,-2160.145,493393.062,5312509.614,
12,337,-129.087729522,47.965889042,chimney,13,153.460,66.668,-2164.144,493451.460,5312512.668,
13,338,-129.089194357,47.966389118,mound,9,44.182,122.375,-2176.263,493342.182,5312568.375,
14,342,-129.088631700,47.966844314,chimney,18,86.239,172.919,-2162.342,493384.239,5312618.919,
15,343,-129.088709700,47.966846314,chimney,7,80.417,173.148,-2164.699,493378.417,5312619.148,
16,344,-129.088348081,47.966924500,chimney,15,107.419,181.807,-2153.169,493405.419,5312627.807,
17,345,-129.088370255,47.966944244,chimney,18,105.767,184.003,-2155.948,493403.767,5312630.003,
18,346,-129.088253775,47.967020176,chimney,12,114.471,192.433,-2154.195,493412.471,5312638.433,
19,347,-129.088184252,47.967028375,chimney,7,119.661,193.338,-2154.976,493417.661,5312639.338,
20,348,-129.088009437,47.967073707,chimney,5,132.716,198.362,-2152.604,493430.716,5312644.362,
21,349,-129.088114807,47.967081624,chimney,8,124.851,199.251,-2153.343,493422.851,5312645.251,
22,351,-129.088052733,47.967140044,chimney,4,129.492,205.739,-2152.909,493427.492,5312651.739,
23,352,-129.089330539,47.967170689,chimney,6,34.117,209.254,-2173.620,493332.117,5312655.254,
24,353,-129.089641539,47.967173689,chimney,13,10.904,209.615,-2173.570,493308.904,5312655.615,
25,354,-129.088780538,47.967201688,chimney,6,75.175,212.652,-2171.371,493373.175,5312658.652,Knight
26,356,-129.088960613,47.967511041,chimney,6,61.773,247.051,-2172.166,493359.773,5312693.051,
27,357,-129.088848222,47.967609935,chimney,5,70.175,258.033,-2172.128,493368.175,5312704.033,
28,358,-129.089294538,47.967621689,mound,8,36.862,259.378,-2164.573,493334.862,5312705.378,
29,359,-129.089370383,47.967644357,mound,12,31.204,261.904,-2160.878,493329.204,5312707.904,
30,360,-129.088797298,47.967683202,chimney,6,73.985,266.172,-2171.020,493371.985,5312712.172,
31,361,-129.088470036,47.967689357,chimney,3,98.414,266.828,-2175.439,493396.414,5312712.828,
32,362,-129.088355721,47.967757949,chimney,5,106.955,274.442,-2175.473,493404.955,5312720.442,Blue Moon
33,363,-129.088420572,47.967790686,chimney,10,102.119,278.086,-2175.502,493400.119,5312724.086,
34,364,-129.087480989,47.967873220,chimney,13,172.261,287.179,-2151.279,493470.261,5312733.179,Baltic
35,365,-129.088280564,47.968039417,chimney,7,112.601,305.719,-2168.596,493410.601,5312751.719,
36,366,-129.088304189,47.968121826,chimney,5,110.848,314.880,-2172.095,493408.848,5312760.880,
37,367,-129.087932628,47.968166513,chimney,8,138.587,319.815,-2167.656,493436.587,5312765.815,
38,368,-129.087526257,47.968233948,chimney,20,168.928,327.276,-2147.896,493466.928,5312773.276,Park Place
39,369,-129.088252585,47.968257907,chimney,6,114.717,330.001,-2170.578,493412.717,5312776.001,
40,370,-129.087739981,47.968284144,chimney,10,152.982,332.873,-2161.921,493450.982,5312778.873,
41,371,-129.087334620,47.968371552,chimney,27,183.249,342.554,-2149.299,493481.249,5312788.554,Boardwalk
42,372,-129.087563166,47.968446867,chimney,14,166.200,350.944,-2152.000,493464.200,5312796.944,
43,373,-129.087628435,47.968589830,chimney,9,161.346,366.839,-2160.378,493459.346,5312812.839,
44,374,-129.087692493,47.968635232,chimney,10,156.571,371.891,-2165.897,493454.571,5312817.891,
45,375,-129.087569636,47.968638154,chimney,7,165.741,372.205,-2160.960,493463.741,5312818.205,
46,377,-129.087356631,47.968688953,chimney,9,181.646,377.833,-2154.956,493479.646,5312823.833,
47,379,-129.087533734,47.968731394,chimney,13,168.433,382.565,-2160.145,493466.433,5312828.565,Three Sisters
48,380,-129.087984396,47.968754262,chimney,5,134.798,385.145,-2171.280,493432.798,5312831.145,
49,381,-129.087809007,47.968757114,chimney,5,147.889,385.447,-2170.182,493445.889,5312831.447,
50,382,-129.087679115,47.968967733,chimney,8,157.611,408.846,-2170.649,493455.611,5312854.846,
51,384,-129.088272664,47.969203936,chimney,5,113.339,435.149,-2169.802,493411.339,5312881.149,
52,385,-129.088304888,47.969229514,chimney,5,110.937,437.995,-2169.758,493408.937,5312883.995,
53,386,-129.087181679,47.969336915,mound,5,194.786,449.836,-2169.459,493492.786,5312895.836,
54,387,-129.088067378,47.969903549,chimney,8,128.750,512.890,-2159.808,493426.750,5312958.890,
55,388,-129.088044378,47.969941549,chimney,8,130.471,517.112,-2164.031,493428.471,5312963.112,
56,389,-129.087867886,47.970058436,chimney,5,143.659,530.088,-2162.913,493441.659,5312976.088,
57,390,-129.087802713,47.970136764,chimney,6,148.534,538.788,-2164.009,493446.534,5312984.788,
58,391,-129.087840554,47.970189451,chimney,4,145.716,544.647,-2161.350,493443.716,5312990.647,
