orig_order,sequence_id,lon,lat,height_m,morphology,vent_field,chimney_name,dist_from_axis_m,utm9n_easting,utm9n_northing,seafloor_depth_m,col_wgs84,row_wgs84,col_utm1m,row_utm1m
274,157,-129.09855809,47.946051332,3,chimney,MEF,,17.7271,492640.348,5310308.782,-2197.498,116,386,117,575
273,158,-129.09883209,47.946078332,6,chimney,MEF,,37.9946,492619.892,5310311.81,-2198.647,96,384,96,572
268,168,-129.099703286,47.946578042,6,mound,MEF,Salut,118.0159,492554.908,5310367.433,-2184.59,30,346,31,516
267,169,-129.098179375,47.946793878,7,chimney,MEF,,19.0735,492668.733,5310391.277,-2197.604,144,330,145,492
266,172,-129.098460212,47.947048828,8,chimney,MEF,,48.4026,492647.799,5310419.64,-2193.961,123,311,124,464
265,173,-129.098188951,47.947060071,12,chimney,MEF,,29.7676,492668.056,5310420.863,-2198.09,144,310,145,463
264,176,-129.098243774,47.947120355,10,chimney,MEF,,35.8889,492663.97,5310427.569,-2195.946,140,306,140,456
262,177,-129.098406466,47.947160552,8,chimney,MEF,,48.8326,492651.828,5310432.052,-2193.432,127,303,128,451
261,180,-129.097735466,47.947183552,4,chimney,MEF,,2.5556,492701.936,5310434.545,-2205.532,177,301,178,449
260,182,-129.098280466,47.947272552,6,chimney,MEF,,44.1966,492661.252,5310444.488,-2198.867,137,294,138,439
259,183,-129.098688466,47.947323552,7,chimney,MEF,,74.7816,492630.793,5310450.196,-2186.173,106,291,107,433
258,184,-129.097927466,47.947324552,20,mound,MEF,,21.3533,492687.619,5310450.234,-2195.942,163,290,164,433
257,185,-129.097888466,47.947346552,14,chimney,MEF,,19.4415,492690.534,5310452.676,-2197.538,166,289,167,431
256,186,-129.098808466,47.947349552,10,chimney,MEF,Milli-Q,84.1914,492621.837,5310453.097,-2180.132,97,289,98,430
255,189,-129.098242534,47.947540235,7,chimney,MEF,,51.6089,492664.123,5310474.236,-2197.178,140,274,141,409
254,190,-129.098363302,47.947555727,9,chimney,MEF,,60.6771,492655.107,5310475.97,-2195.444,131,273,132,408
253,193,-129.099086407,47.947620195,6,mound,MEF,Sully,113.9074,492601.121,5310483.204,-2186.035,77,268,78,400
