waypoint_id,sequence_id,lon,lat,type,height_m,x_local_m,y_local_m,seafloor_depth_m,utm9n_easting,utm9n_northing,name
1,157,-129.098558090,47.946051332,chimney,3,117.348,31.782,-2197.766,492640.348,5310308.782,
2,158,-129.098832090,47.946078332,chimney,6,96.892,34.810,-2197.864,492619.892,5310311.810,
3,168,-129.099703286,47.946578042,mound,6,31.908,90.433,-2184.291,492554.908,5310367.433,Salut
4,169,-129.098179375,47.946793878,chimney,7,145.733,114.277,-2197.688,492668.733,5310391.277,
5,172,-129.098460212,47.947048828,chimney,8,124.799,142.640,-2193.832,492647.799,5310419.640,
6,173,-129.098188951,47.947060071,chimney,12,145.056,143.863,-2197.030,492668.056,5310420.863,
7,176,-129.098243774,47.947120355,chimney,10,140.970,150.569,-2195.098,492663.970,5310427.569,
8,177,-129.098406466,47.947160552,chimney,8,128.828,155.052,-2193.932,492651.828,5310432.052,
9,180,-129.097735466,47.947183552,chimney,4,178.936,157.545,-2205.524,492701.936,5310434.545,
10,182,-129.098280466,47.947272552,chimney,6,138.252,167.488,-2198.298,492661.252,5310444.488,
11,183,-129.098688466,47.947323552,chimney,7,107.793,173.196,-2186.182,492630.793,5310450.196,
12,184,-129.097927466,47.947324552,mound,20,164.619,173.234,-2194.681,492687.619,5310450.234,
13,185,-129.097888466,47.947346552,chimney,14,167.534,175.676,-2197.484,492690.534,5310452.676,
14,186,-129.098808466,47.947349552,chimney,10,98.837,176.097,-2183.802,492621.837,5310453.097,Milli-Q
15,189,-129.098242534,47.947540235,chimney,7,141.123,197.236,-2197.000,492664.123,5310474.236,
16,190,-129.098363302,47.947555727,chimney,9,132.107,198.970,-2194.675,492655.107,5310475.970,
17,193,-129.099086407,47.947620195,mound,6,78.121,206.204,-2185.892,492601.121,5310483.204,Sully
18,195,-129.098943341,47.947720965,mound,11,88.818,217.390,-2186.533,492611.818,5310494.390,Tara
19,196,-129.098993466,47.947778552,chimney,9,85.084,223.796,-2186.115,492608.084,5310500.796,
20,198,-129.097605003,47.947793611,mound,13,188.763,225.337,-2198.761,492711.763,5310502.337,
21,199,-129.097710652,47.947801820,chimney,6,180.876,226.260,-2202.203,492703.876,5310503.260,
22,201,-129.099521991,47.947850689,chimney,10,45.629,231.864,-2189.028,492568.629,5310508.864,Peanut
23,202,-129.097536971,47.947857939,mound,15,193.852,232.480,-2198.019,492716.852,5310509.480,
24,203,-129.098945301,47.947858105,mound,9,88.691,232.633,-2186.104,492611.691,5310509.633,Needle
25,204,-129.099014386,47.947861112,mound,17,83.533,232.974,-2184.659,492606.533,5310509.974,Bastille
26,205,-129.099293396,47.947891448,mound,10,62.704,236.372,-2187.181,492585.704,5310513.372,Peanut
27,206,-129.098513466,47.947993552,chimney,22,120.956,247.646,-2187.021,492643.956,5310524.646,S&M
28,207,-129.097809180,47.948015075,chimney,8,173.548,249.971,-2201.403,492696.548,5310526.971,
29,208,-129.097536176,47.948017939,chimney,6,193.934,250.264,-2202.745,492716.934,5310527.264,
30,209,-129.097360000,47.948074010,chimney,8,207.097,256.479,-2206.804,492730.097,5310533.479,
31,210,-129.097582952,47.948117206,chimney,13,190.455,261.301,-2205.881,492713.455,5310538.301,
32,214,-129.097208953,47.948691638,chimney,6,218.462,325.111,-2205.371,492741.462,5310602.111,
33,215,-129.097058188,47.948880210,chimney,4,229.746,346.056,-2206.972,492752.746,5310623.056,
34,216,-129.097598094,47.948960645,chimney,13,189.443,355.046,-2186.849,492712.443,5310632.046,Dudley
35,217,-129.097290094,47.949000645,chimney,12,212.447,359.463,-2196.929,492735.447,5310636.463,
36,218,-129.097566094,47.949024645,chimney,9,191.842,362.157,-2193.059,492714.842,5310639.157,
37,219,-129.099169312,47.949027364,chimney,8,72.131,362.611,-2183.792,492595.131,5310639.611,
38,220,-129.097126094,47.949116645,chimney,5,224.709,372.340,-2202.292,492747.709,5310649.340,
39,221,-129.096755094,47.949148645,chimney,9,252.415,375.862,-2206.219,492775.415,5310652.862,
40,222,-129.098521095,47.949185646,chimney,8,120.556,380.142,-2187.296,492643.556,5310657.142,Grotto
41,223,-129.098347095,47.949239646,chimney,8,133.556,386.127,-2187.923,492656.556,5310663.127,
42,224,-129.097966679,47.949258629,chimney,24,161.963,388.201,-2187.472,492684.963,5310665.201,Dante
43,225,-129.098640095,47.949290646,chimney,13,111.685,391.823,-2182.351,492634.685,5310668.823,Grotto N. Tower
44,226,-129.097022094,47.949293645,chimney,13,232.499,392.003,-2206.270,492755.499,5310669.003,
45,227,-129.097630094,47.949344645,chimney,4,187.108,397.729,-2191.173,492710.108,5310674.729,
46,228,-129.097816679,47.949345629,chimney,23,173.176,397.856,-2187.772,492696.176,5310674.856,Dante
47,229,-129.098343094,47.949587646,chimney,8,133.904,424.805,-2189.833,492656.904,5310701.805,Lobo
48,230,-129.097605094,47.949591645,chimney,8,189.009,425.179,-2189.490,492712.009,5310702.179,
49,231,-129.096924239,47.949647565,chimney,10,239.855,431.330,-2201.237,492762.855,5310708.330,Crypto
50,232,-129.097548230,47.949722631,chimney,22,193.274,439.732,-2190.813,492716.274,5310716.732,TP
51,233,-129.096861093,47.949808645,chimney,12,244.593,449.228,-2201.557,492767.593,5310726.228,Crypto
52,234,-129.096977093,47.950154645,chimney,16,235.980,487.695,-2193.317,492758.980,5310764.695,Hulk
53,235,-129.097771093,47.950389645,chimney,6,176.727,513.889,-2188.100,492699.727,5310790.889,
54,236,-129.097696748,47.950608202,chimney,7,182.309,538.173,-2189.136,492705.309,5310815.173,
55,237,-129.096614263,47.950855123,chimney,6,263.169,565.515,-2204.238,492786.169,5310842.515,
56,238,-129.096559324,47.950946527,chimney,8,267.283,575.669,-2206.880,492790.283,5310852.669,
