orig_order,sequence_id,lon,lat,height_m,morphology,vent_field,chimney_name,dist_from_axis_m,utm9n_easting,utm9n_northing,seafloor_depth_m,col_wgs84,row_wgs84,col_utm1m,row_utm1m
365,56,-129.10965529,47.920939066,15,chimney,Mothra,,120.8346,491807.719,5307518.809,-2281.993,6,387,6,576
364,57,-129.109601307,47.920963689,18,chimney,Mothra,Stonehenge,117.6307,491811.756,5307521.54,-2282.921,10,385,10,573
363,58,-129.109500348,47.921035486,7,chimney,Mothra,,112.3673,491819.31,5307529.509,-2283.714,18,379,18,565
362,59,-129.109383665,47.92106804,5,chimney,Mothra,,104.8577,491828.032,5307533.115,-2283.746,26,377,27,561
361,60,-129.109483561,47.921125661,14,chimney,Mothra,,113.705,491820.578,5307539.53,-2284.61,19,373,19,555
360,61,-129.109236972,47.921813607,5,chimney,Mothra,Cuchalainn,115.3478,491839.109,5307615.965,-2285.337,37,321,38,479
359,62,-129.109147061,47.921832739,4,mound,Mothra,Cuchalainn:Bat Tower,109.393,491845.829,5307618.082,-2285.698,44,320,44,476
358,63,-129.109098039,47.92194857,9,chimney,Mothra,Cuchalainn:Brigid,109.1276,491849.509,5307630.951,-2285.458,48,311,48,464
357,64,-129.109211166,47.923167017,6,mound,Mothra,Crab Basin,142.2748,491841.25,5307766.386,-2279.583,39,220,40,328
356,65,-129.109143101,47.923170082,18,mound,Mothra,Crab Basin:Gwenen,137.2609,491846.335,5307766.72,-2280.49,44,220,45,328
355,66,-129.109117512,47.923261786,10,mound,Mothra,Crab Basin,136.5125,491848.261,5307776.91,-2282.169,46,213,47,318
354,67,-129.109051989,47.923284974,14,mound,Mothra,Crab Basin,131.9398,491853.16,5307779.48,-2287.064,51,211,52,315
353,68,-129.109169512,47.923327786,12,chimney,Mothra,Crab Basin,141.2007,491844.387,5307784.251,-2283.799,42,208,43,310
352,69,-129.108715491,47.923738854,8,chimney,Mothra,Faulty Towers,114.057,491878.369,5307829.891,-2273.951,76,177,77,265
351,70,-129.108635324,47.923744484,16,chimney,Mothra,Faulty Towers:Tower,108.474,491884.359,5307830.508,-2270.668,82,177,83,264
350,71,-129.108681627,47.923746824,15,chimney,Mothra,Faulty Towers,111.8654,491880.9,5307830.773,-2271.815,79,177,79,264
349,72,-129.108600018,47.923793674,11,chimney,Mothra,Faulty Towers,107.6109,491887.004,5307835.971,-2269.556,85,173,86,259
348,73,-129.108612103,47.923838191,9,chimney,Mothra,Faulty Towers,109.9826,491886.108,5307840.92,-2270.666,84,170,85,254
347,74,-129.108482813,47.923959984,5,chimney,Mothra,Faulty Towers,104.9228,491895.786,5307854.443,-2269.636,94,161,94,240
346,75,-129.108720384,47.924137381,5,mound,Mothra,,127.847,491878.066,5307874.185,-2267.81,76,148,77,220
345,76,-129.108656384,47.924172381,5,mound,Mothra,,124.4834,491882.852,5307878.068,-2267.983,81,145,81,216
344,77,-129.108659622,47.924226983,8,mound,Mothra,Twin Peaks,126.5683,491882.619,5307884.137,-2270.184,80,141,81,210
343,78,-129.107829944,47.925016276,12,chimney,Mothra,,94.3627,491944.722,5307971.776,-2261.77,142,82,143,123
342,79,-129.107158125,47.925740768,11,chimney,Mothra,,60.1549,491995.021,5308052.229,-2255.03,193,28,194,42
341,80,-129.107495947,47.925755585,4,chimney,Mothra,,85.2686,491969.788,5308053.911,-2253.75,167,27,168,41
340,81,-129.107262645,47.925764881,11,chimney,Mothra,Cauldron,68.3204,491987.217,5308054.92,-2254.896,185,26,186,40
339,82,-129.107290274,47.925843734,5,chimney,Mothra,,71.9469,491985.166,5308063.687,-2258.599,183,20,184,31
338,83,-129.107142274,47.925940734,4,chimney,Mothra,,63.0407,491996.236,5308074.453,-2256.521,194,13,195,20
