waypoint_id,sequence_id,lon,lat,type,height_m,x_local_m,y_local_m,seafloor_depth_m,utm9n_easting,utm9n_northing,name
1,56,-129.109655290,47.920939066,chimney,15,6.719,76.809,-2282.518,491807.719,5307518.809,
2,57,-129.109601307,47.920963689,chimney,18,10.756,79.540,-2283.024,491811.756,5307521.540,Stonehenge
3,58,-129.109500348,47.921035486,chimney,7,18.310,87.509,-2283.889,491819.310,5307529.509,
4,59,-129.109383665,47.921068040,chimney,5,27.032,91.115,-2283.994,491828.032,5307533.115,
5,60,-129.109483561,47.921125661,chimney,14,19.578,97.530,-2284.946,491820.578,5307539.530,
6,61,-129.109236972,47.921813607,chimney,5,38.109,173.965,-2284.986,491839.109,5307615.965,Cuchalainn
7,62,-129.109147061,47.921832739,mound,4,44.829,176.082,-2285.749,491845.829,5307618.082,Cuchalainn:Bat Tower
8,63,-129.109098039,47.921948570,chimney,9,48.509,188.951,-2285.177,491849.509,5307630.951,Cuchalainn:Brigid
9,64,-129.109211166,47.923167017,mound,6,40.250,324.386,-2279.722,491841.250,5307766.386,Crab Basin
10,65,-129.109143101,47.923170082,mound,18,45.335,324.720,-2280.432,491846.335,5307766.720,Crab Basin:Gwenen
11,66,-129.109117512,47.923261786,mound,10,47.261,334.910,-2283.046,491848.261,5307776.910,Crab Basin
12,67,-129.109051989,47.923284974,mound,14,52.160,337.480,-2286.450,491853.160,5307779.480,Crab Basin
13,68,-129.109169512,47.923327786,chimney,12,43.387,342.251,-2284.078,491844.387,5307784.251,Crab Basin
14,69,-129.108715491,47.923738854,chimney,8,77.369,387.891,-2273.438,491878.369,5307829.891,Faulty Towers
15,70,-129.108635324,47.923744484,chimney,16,83.359,388.508,-2270.417,491884.359,5307830.508,Faulty Towers:Tower
16,71,-129.108681627,47.923746824,chimney,15,79.900,388.773,-2271.978,491880.900,5307830.773,Faulty Towers
17,72,-129.108600018,47.923793674,chimney,11,86.004,393.971,-2268.304,491887.004,5307835.971,Faulty Towers
18,73,-129.108612103,47.923838191,chimney,9,85.108,398.920,-2270.269,491886.108,5307840.920,Faulty Towers
19,74,-129.108482813,47.923959984,chimney,5,94.786,412.443,-2269.294,491895.786,5307854.443,Faulty Towers
20,75,-129.108720384,47.924137381,mound,5,77.066,432.185,-2268.631,491878.066,5307874.185,
21,76,-129.108656384,47.924172381,mound,5,81.852,436.068,-2268.321,491882.852,5307878.068,
22,77,-129.108659622,47.924226983,mound,8,81.619,442.137,-2270.292,491882.619,5307884.137,Twin Peaks
23,78,-129.107829944,47.925016276,chimney,12,143.722,529.776,-2261.688,491944.722,5307971.776,
24,79,-129.107158125,47.925740768,chimney,11,194.021,610.229,-2255.224,491995.021,5308052.229,
25,80,-129.107495947,47.925755585,chimney,4,168.788,611.911,-2253.783,491969.788,5308053.911,
26,81,-129.107262645,47.925764881,chimney,11,186.217,612.920,-2254.792,491987.217,5308054.920,Cauldron
27,82,-129.107290274,47.925843734,chimney,5,184.166,621.687,-2258.407,491985.166,5308063.687,
28,83,-129.107142274,47.925940734,chimney,4,195.236,632.453,-2256.495,491996.236,5308074.453,
