orig_order,sequence_id,lon,lat,height_m,morphology,vent_field,chimney_name,dist_from_axis_m,utm9n_easting,utm9n_northing,seafloor_depth_m,col_wgs84,row_wgs84,col_utm1m,row_utm1m
460,499,-129.06758,47.993005,10,chimney,,,0.542,494958.155,5315524.969,-2151.493,174,422,175,630
459,500,-129.066132,47.993575,8,mound,,,66.2515,495066.238,5315588.229,-2147.354,282,380,283,566
555,501,-129.066463003,47.993821487,9,chimney,,,31.5942,495041.567,5315615.646,-2153.018,257,362,258,539
554,502,-129.066567819,47.993834995,8,chimney,,,23.9834,495033.749,5315617.154,-2150.909,250,361,250,537
458,503,-129.069582,47.993967,13,chimney,,,181.5149,494808.891,5315632.024,-2144.07,25,351,25,522
556,504,-129.066476009,47.994007159,8,chimney,,,21.0604,495040.614,5315636.283,-2155.354,257,348,257,518
457,505,-129.063188,47.994701,8,chimney,,,196.6388,495285.977,5315713.194,-2152.372,502,296,502,441
456,506,-129.064669,47.994776,4,chimney,,,96.5494,495175.496,5315721.622,-2153.818,391,290,392,433
455,507,-129.068456,47.994966,15,chimney,,,159.3794,494892.994,5315742.984,-2145.282,109,276,109,412
454,508,-129.065572,47.995053,7,chimney,,,22.7808,495108.156,5315752.466,-2153.005,324,270,325,402
453,509,-129.06529,47.995073,13,chimney,,,39.9504,495129.196,5315754.671,-2158.484,345,268,346,400
452,510,-129.068213,47.995136,11,chimney,,,152.9106,494911.139,5315761.862,-2148.445,127,263,128,393
451,511,-129.065538,47.995146,9,chimney,,,19.8601,495110.701,5315762.801,-2158.573,327,263,327,392
450,512,-129.065366,47.995221,12,chimney,,,26.8723,495123.54,5315771.126,-2158.108,339,257,340,383
449,513,-129.065151,47.995307,7,chimney,,,36.0646,495139.588,5315780.671,-2159.833,355,251,356,374
448,514,-129.064864,47.995317,5,chimney,,,54.109,495160.999,5315781.764,-2155.866,377,250,377,373
447,515,-129.065532,47.995367,9,chimney,,,8.0732,495111.17,5315787.363,-2151.786,327,246,328,367
446,516,-129.065257,47.995392,11,chimney,,,24.5137,495131.688,5315790.125,-2162.524,347,244,348,364
445,517,-129.064598,47.995433,6,chimney,,,64.9526,495180.854,5315794.64,-2155.541,397,241,397,360
444,518,-129.067886,47.995435,11,chimney,,,148.1951,494935.563,5315795.073,-2149.04,151,241,152,359
443,519,-129.067471,47.995483,4,chimney,,,123.9503,494966.528,5315800.381,-2152.902,182,237,183,354
442,520,-129.067092,47.995565,6,chimney,,,103.9113,494994.81,5315809.47,-2153.189,211,231,211,345
441,521,-129.06353,47.995651,7,chimney,,,124.5734,495260.549,5315818.804,-2160.977,476,225,477,336
440,522,-129.066762,47.995875,7,mound,Sasquatch,,99.6082,495019.458,5315843.904,-2141.174,235,208,236,311
566,523,-129.068782523,47.995900417,3,chimney,,,231.9234,494868.727,5315846.862,-2159.441,84,206,85,308
563,524,-129.068741149,47.995994615,7,chimney,,,234.4319,494871.823,5315857.329,-2157.378,87,199,88,297
439,525,-129.068618,47.996017,7,mound,,,227.6859,494881.012,5315859.809,-2154.911,97,198,98,295
438,526,-129.066784,47.996021,12,mound,Sasquatch,,109.077,495017.831,5315860.133,-2135.05,234,197,234,294
564,527,-129.068645424,47.99608354,8,chimney,,,233.1285,494878.973,5315867.206,-2158.716,95,193,95,287
437,528,-129.0668,47.996123,14,mound,Sasquatch,,115.733,495016.647,5315871.471,-2138.522,232,190,233,283
565,529,-129.068533919,47.99619436,5,chimney,,,232.0088,494887.302,5315879.516,-2158.418,103,184,104,275
436,530,-129.065669,47.996432,5,chimney,Sasquatch,,56.7238,495101.05,5315905.742,-2161.129,317,167,318,249
435,531,-129.068366,47.996448,10,chimney,,,235.1018,494899.854,5315907.696,-2161.927,115,165,116,247
434,532,-129.065746,47.996537,8,chimney,Sasquatch,,66.855,495095.316,5315917.418,-2159.332,311,159,312,237
433,533,-129.066794,47.996953,8,chimney,Sasquatch,,157.2439,495017.175,5315963.721,-2144.698,233,128,234,191
432,534,-129.066769,47.997012,17,chimney,Sasquatch,,158.3192,495019.045,5315970.277,-2150.797,235,123,236,184
431,535,-129.064897,47.997158,5,chimney,,,42.5889,495158.71,5315986.385,-2165.942,374,112,375,168
430,536,-129.064862,47.997241,7,chimney,,,44.964,495161.329,5315995.608,-2169.156,377,106,378,159
553,537,-129.064833165,47.997305582,6,chimney,,,46.7087,495163.486,5316002.785,-2172.379,379,101,380,152
429,538,-129.063387418,47.997594905,12,chimney,,,34.4099,495271.364,5316034.852,-2162.826,487,80,488,120
428,539,-129.061746,47.997975,4,chimney,,,135.1453,495393.846,5316076.999,-2153.759,610,51,610,78
427,540,-129.062045,47.998224,5,chimney,,,105.2974,495371.563,5316104.692,-2170.512,587,33,588,50
426,541,-129.061237,47.998241,4,chimney,,,161.9511,495431.84,5316106.533,-2153.49,648,32,648,48
425,542,-129.062321,47.998244,12,chimney,,,85.0474,495350.976,5316106.931,-2174.543,567,31,567,48
424,543,-129.061014,47.998386,3,mound,,,172.7045,495448.488,5316122.636,-2162.323,664,21,665,32
423,544,-129.062279,47.998618,5,chimney,,,75.0095,495354.143,5316148.497,-2178.278,570,4,571,6
