waypoint_id,sequence_id,lon,lat,type,height_m,x_local_m,y_local_m,seafloor_depth_m,utm9n_easting,utm9n_northing,name
1,499,-129.067580000,47.993005000,chimney,10,556.155,74.969,-2150.837,494958.155,5315524.969,
2,500,-129.066132000,47.993575000,mound,8,664.238,138.229,-2147.752,495066.238,5315588.229,
3,501,-129.066463003,47.993821487,chimney,9,639.567,165.646,-2153.459,495041.567,5315615.646,
4,502,-129.066567819,47.993834995,chimney,8,631.749,167.154,-2150.323,495033.749,5315617.154,
5,503,-129.069582000,47.993967000,chimney,13,406.891,182.024,-2144.551,494808.891,5315632.024,
6,504,-129.066476009,47.994007159,chimney,8,638.614,186.283,-2155.612,495040.614,5315636.283,
7,507,-129.068456000,47.994966000,chimney,15,490.994,292.984,-2145.182,494892.994,5315742.984,
8,510,-129.068213000,47.995136000,chimney,11,509.139,311.862,-2147.980,494911.139,5315761.862,
9,518,-129.067886000,47.995435000,chimney,11,533.563,345.073,-2149.357,494935.563,5315795.073,
10,519,-129.067471000,47.995483000,chimney,4,564.528,350.381,-2152.473,494966.528,5315800.381,
11,520,-129.067092000,47.995565000,chimney,6,592.810,359.470,-2153.356,494994.810,5315809.470,
12,522,-129.066762000,47.995875000,mound,7,617.458,393.904,-2141.753,495019.458,5315843.904,
13,523,-129.068782523,47.995900417,chimney,3,466.727,396.862,-2159.411,494868.727,5315846.862,
14,524,-129.068741149,47.995994615,chimney,7,469.823,407.329,-2157.314,494871.823,5315857.329,
15,525,-129.068618000,47.996017000,mound,7,479.012,409.809,-2154.815,494881.012,5315859.809,
16,526,-129.066784000,47.996021000,mound,12,615.831,410.133,-2134.443,495017.831,5315860.133,
17,527,-129.068645424,47.996083540,chimney,8,476.973,417.206,-2159.125,494878.973,5315867.206,
18,528,-129.066800000,47.996123000,mound,14,614.647,421.471,-2139.973,495016.647,5315871.471,
19,529,-129.068533919,47.996194360,chimney,5,485.302,429.516,-2157.942,494887.302,5315879.516,
20,530,-129.065669000,47.996432000,chimney,5,699.050,455.742,-2161.253,495101.050,5315905.742,
21,531,-129.068366000,47.996448000,chimney,10,497.854,457.696,-2161.572,494899.854,5315907.696,
22,532,-129.065746000,47.996537000,chimney,8,693.316,467.418,-2159.429,495095.316,5315917.418,
23,533,-129.066794000,47.996953000,chimney,8,615.175,513.721,-2144.359,495017.175,5315963.721,
24,534,-129.066769000,47.997012000,chimney,17,617.045,520.277,-2150.556,495019.045,5315970.277,
