waypoint_id,sequence_id,lon,lat,type,height_m,x_local_m,y_local_m,seafloor_depth_m,utm9n_easting,utm9n_northing,name
1,56,-129.109625077,47.920894105,chimney,15,8.969,71.809,-2271.185,491809.969,5307513.809,
2,57,-129.109571093,47.920918728,chimney,18,13.006,74.540,-2265.754,491814.006,5307516.540,Stonehenge
3,58,-129.109470133,47.920990524,chimney,7,20.560,82.509,-2278.121,491821.560,5307524.509,
4,59,-129.109353456,47.921023080,chimney,5,29.282,86.115,-2281.586,491830.282,5307528.115,
5,60,-129.109453351,47.921080702,chimney,14,21.828,92.530,-2272.378,491822.828,5307534.530,
6,61,-129.109206757,47.921768647,chimney,5,40.359,168.965,-2282.617,491841.359,5307610.965,Cuchalainn
7,62,-129.109116847,47.921787779,mound,4,47.079,171.082,-2273.961,491848.079,5307613.082,Cuchalainn:Bat Tower
8,63,-129.109067832,47.921903612,chimney,9,50.759,183.951,-2277.671,491851.759,5307625.951,Cuchalainn:Brigid
9,64,-129.109180947,47.923122056,mound,6,42.500,319.386,-2276.675,491843.500,5307761.386,Crab Basin
10,65,-129.109112887,47.923125125,mound,18,47.585,319.720,-2270.352,491848.585,5307761.720,Crab Basin:Gwenen
11,66,-129.109087298,47.923216832,mound,10,49.511,329.910,-2273.648,491850.511,5307771.910,Crab Basin
12,67,-129.109021770,47.923240018,mound,14,54.410,332.480,-2272.573,491855.410,5307774.480,Crab Basin
13,68,-129.109139294,47.923282832,chimney,12,45.637,337.251,-2279.720,491846.637,5307779.251,Crab Basin
14,69,-129.108685279,47.923693900,chimney,8,79.619,382.891,-2263.470,491880.619,5307824.891,Faulty Towers
15,70,-129.108605109,47.923699527,chimney,16,85.609,383.508,-2254.883,491886.609,5307825.508,Faulty Towers:Tower
16,71,-129.108651415,47.923701868,chimney,15,82.150,383.773,-2264.051,491883.150,5307825.773,Faulty Towers
17,72,-129.108569806,47.923748713,chimney,11,88.254,388.971,-2259.860,491889.254,5307830.971,Faulty Towers
18,73,-129.108581893,47.923793229,chimney,9,87.358,393.920,-2264.423,491888.358,5307835.920,Faulty Towers
19,74,-129.108452598,47.923915022,chimney,5,97.036,407.443,-2267.123,491898.036,5307849.443,Faulty Towers
20,75,-129.108690169,47.924092422,mound,5,79.316,427.185,-2267.160,491880.316,5307869.185,
21,76,-129.108626177,47.924127419,mound,5,84.102,431.068,-2263.273,491885.102,5307873.068,
22,77,-129.108629410,47.924182021,mound,8,83.869,437.137,-2262.423,491884.869,5307879.137,Twin Peaks
23,78,-129.107799737,47.924971318,chimney,12,145.972,524.776,-2252.947,491946.972,5307966.776,
24,79,-129.107127919,47.925695807,chimney,11,196.271,605.229,-2248.036,491997.271,5308047.229,
25,80,-129.107465729,47.925710624,chimney,4,171.038,606.911,-2250.970,491972.038,5308048.911,
26,81,-129.107232437,47.925719921,chimney,11,188.467,607.920,-2245.923,491989.467,5308049.920,Cauldron
27,82,-129.107260055,47.925798774,chimney,5,186.416,616.687,-2252.643,491987.416,5308058.687,
28,83,-129.107112067,47.925895778,chimney,4,197.486,627.453,-2253.031,491998.486,5308069.453,
